nctId,briefSummary,detailedDescription,inclusion_criteria,exclusion_criteria,intervention_name_clean,outcomes_name
NCT00857649,The primary objective of this study is to examine the efficacy of memantine on cognition and behavioural symptoms in outpatients with moderate to severe dementia of the Alzheimer's type.,"Memantine is a moderate affinity, uncompetitive N-methyl-D-aspartate (NMDA) receptor antagonist. Pre-clinical studies have demonstrated that memantine can decrease the neuronal toxicity associated with excessive glutamate release and calcium overload in neurons. Results from clinical trials in patients with moderate to severe Alzheimer's Disease (AD) have demonstrated memantine's efficacy and safety by showing positive treatment effects on cognitive, global and functional decline.

This 24-week randomised, double-blind, placebo-controlled, multicentre study examines the effect of memantine 20 mg, administered once daily, on cognitive and behavioural symptoms in outpatients diagnosed with moderate to severe AD and significant psychopathology.","outpatients who: had a primary diagnosis of probable alzheimer's disease (ad) according to national institute of neurological and communicative disorders and stroke and the alzheimer's disease and related disorders association (ninds-adrda) criteria, and with diagnostic and statistical manual of mental disorders, 4th edition, text revised (dsm iv tr) criteria for dementia of the alzheimer's type; had moderate to severe dementia, defined as a mini mental state examination (mmse) total score \>=5 and \=8 and \6 months after their initial screening and, if there was documented evidence of cognitive decline, to be enrolled in the study; had a neuropsychiatric inventory (npi) total score \>=13 and an npi agitation/aggression subitem score \>=1 at screening and baseline; did not have vascular dementia or a modified hachinski ischaemia scale score \>4 at screening","evidence of clinically significant active disease, evidence of other neurological disorders, and previous treatment with memantine",Memantine; Placebo,Efficacy of Memantine on Behavioural Symptoms in Outpatients With Moderate to Severe Dementia of the Alzheimer's Type Using the NPI - 12 Items Version Total Score.; Efficacy of Memantine on Cognition in Outpatients With Moderate to Severe Dementia of the Alzheimer's Type Using the SIB Total Score.
NCT00895895,"The study will evaluate the efficacy and safety of an investigational drug called SAM-531 at three dosage levels. Subjects will receive either one of the 3 dosage levels of SAM-531, donepezil or placebo for the first 24 weeks of the study (period I). Subjects who receive placebo for period I will be assigned to receive the highest dose of SAM-531 SAM-531 for the remaining 28 weeks of the study, while subjects who received one of the three SAM-531 dosage levels or donepezil in period I will continue with the same study drug (period II).",The study was stopped (date of termination was 13April2011) due to a 6 month interim analysis: all of the 3 SAM-531 dosage levels were declared futile. There were no safety concerns.,diagnosis of probable alzheimer disease according to the national institute of neurological and communicative disorders and stroke-alzheimer's diseases and related disorders association (nincds-adrda) criteria.; mini-mental state examination (mmse) score of 12 to 24 at screening; rosen modified hachinski ischemic score \< or equal to 4 at screening.,"relevant neurologic disease other than alzheimer disease that may affect cognition or ability to complete the study.; current major depressive disorder or other current major psychiatric disorder.; history of clinically evident stroke or clinically important carotid or vertebrobasilar stenosis or plaque.; use of prescription or nonprescription medications for cognitive enhancement (including memantine, ginkgo biloba, huperzine a, and cholinesterase inhibitors) within 3 months before the baseline visit.",Placebo; SAM-531 1.; SAM-531 3.; SAM-531 5.; Donepezil,Change From Baseline in the Alzheimer's Disease Assessment Scale-Cognition (ADAS-Cog) Total Score at Week 24
NCT00937352,"The purpose of this study is to assess the long-term safety and tolerability of Bapineuzumab (AAB-001, ELN115727) in subjects with Alzheimer's disease who participated in study ELN115727-301 or study ELN115727-302.",,diagnosis of probable ad; must have completed study 301 or study 302; and have completed visit 15 (week 78); brain mri scan to evaluate safety from study 301 or 302 at visit 14/week 71; caregiver able to attend all clinic visits with patient,"any new medical contraindication or clinically significant abnormality on physical, neurological, laboratory, vital signs or ecg examination (eg, atrial fibrillation) that precludes continued or initiation of treatment with bapineuzumab or participation in the study; screening visit brain mri scan (mri from study 301 or 302 visit 14/week 71) indicative of any significant abnormality not approved by the medical monitor prior to enrollment; current use of experimental medications for ad (other than bapineuzumab) and all other experimental medications, herbal preparations containing ginko biloba, and anticoagulants (except the use of aspirin 325mg/day or less, plavix, and persantine but not for stroke)",Bapineuzumab,"Clinically important changes in safety assessment results including vital signs, weight, clinical laboratory tests, electrocardiograms (ECGs), brain magnetic resonance imaging (MRI), physical and neurological examinations, and infusion site assessments."
NCT00996918,The purpose of this study is to assess the long-term safety and tolerability of bapineuzumab in subjects with Alzheimer Disease who participated in study 3133K1-3000 (NCT00667810). Over 250 sites will participate in over 26 countries. Subjects will receive bapineuzumab. Each subject's participation will last approximately 4 years.,,subject has completed study 3133k1-3000 and brain magnetic resonance imaging (mri) scan consistent with the diagnosis of alzheimer disease; mini-mental status examination (mmse) \>=10 at screening; caregiver able to attend all clinic visits with subject,"any medical or psychiatric contraindication or clinically significant abnormality that, in the investigator's judgment, will substantially increase the risk associated with the subject's participation in and completion of the study or could preclude the evaluation of the subject's response.; any significant brain mri abnormality.; use of any investigational drugs or devices, other than bapineuzumab within the last 60 days prior to screening",Bapineuzumab 0./kg; Bapineuzumab 1.0 m/kg,Number of Participants Reporting a Serious Adverse Event.
NCT00998764,The purpose of this study is to assess the long-term safety and tolerability of bapineuzumab in subjects with Alzheimer Disease who participated in study 3133K1-3001(NCT00676143). Over 250 sites will participate in over 26 countries. Subjects will receive bapineuzumab. Each subject's participation will last approximately 4 years.,,subject has completed study 3133k1-3001 (week 78) and brain magnetic resonance imaging (mri) scan consistent with the diagnosis of alzheimer disease; mini-mental status examination (mmse) \>=10 at screening; caregiver able to attend all clinic visits with subject,"any medical or psychiatric contraindication or clinically significant abnormality that, in the investigator's judgment, will substantially increase the risk associated with the subject's participation in and completion of the study or could preclude the evaluation of the subject's response.; any significant brain mri abnormality.; use of any investigational drugs or devices, other than bapineuzumab within the last 60 days prior to screening",Bapineuzumab 0./kg,Number of Participants Reporting a Serious Adverse Event
NCT01001637,"Curcumin is shown to impact several different pathways of neuroprotection, however clinical trials have not shown positive results, due to the poor bioavailability of curcumin. This study is designed to determine efficacy and safety of high-bioavailability curcumin formulation (Longvida) in subjects with Alzheimer's disease.","Curcumin is a polyphenolic molecule that comprises approximately 3-5% of turmeric (Curcuma longa) root, giving the spice its characteristic yellow color. Because of its anti-inflammatory, anti-amyloid, and antioxidant properties, curcumin has shown positive effects in animal models of Alzheimer's disease (AD). However, a six month human study was conducted with unformulated curcumin showing insignificant trends, due to limited bioavailability and brain permeability of unformulated curcumin. In animal models of AD, oral dosing of solid-lipid curcumin particle (SLCP or Longvida) significantly reduced memory deficit and impacted biomarkers better than unformulated curcumin. This study is to determine the potential efficacy and safety of highly absorbed SLCP curcumin in subjects with AD.",male or female age ≥ 50.; diagnosed with probable ad using ninds-adrda research criteria. mmse score ≥5 and ≤20.; no history of significant psychiatric or non-ad neurological disease.; an available caregiver to monitor and administer medication and to accompany the subject to every clinical visit.; on stable doses of concomitant medications for at least one month prior to starting study medication.,"current or recent major psychiatric illness that meets dsm-iv criteria (i.e. bipolar disorder, schizophrenia).; significant uncontrolled systemic illness (i.e. chronic renal failure, chronic liver disease, poorly controlled diabetes, or poorly controlled congestive heart failure).; recent history of gastrointestinal bleeding or ulceration.; alcoholism or substance abuse within the past year per dsm-iv criteria.; familial, autosomal dominant alzheimer's disease due to a mutation in a known gene (presenilin-1, presenilin-2, or amyloid precursor protein).",Curcumin Formulation; Placebo,To determine if curcumin formulation affects mental capacity in Alzheimer's patients based on mental exams
NCT01066546,The purpose of this study is to evaluate the long-term safety and tolerability of dimebon in subjects with moderate-to-severe Alzheimer's Disease.,"This study was terminated on May 7, 2010 due to modification of the dimebon development plan, following the lack of demonstration of efficacy in the completed DIM14 (CONNECTION) Study. The study was not terminated due to any safety findings. Dimebon has been well-tolerated in clinical trials. Demonstration of efficacy for dimebon in Alzheimer's disease is pending completion of the ongoing DIM18 (CONCERT) Study.",successful completion of 6 months treatment in the previous b1451006 phase 3 dimebon study,any major medical illness or unstable medical condition that may increase the risk associated with study participation or investigational product administration or may interfere with the ability to interpret study safety data,Dimebon tablet for oral administration,Number of Participants With Adverse Events (AEs)
NCT01127633,This study is an open-label extension study in Alzheimer's patients who have completed participation in either solanezumab Clinical Trial H8A-MC-LZAM (NCT00905372) or H8A-MC-LZAN (NCT00904683).,,meets national institute of neurological and communicative disorders and stroke/alzheimer's disease and related disorders association (nincds/adrda) criteria for probable alzheimer's disease; has completed participation in solanezumab study lzam or study lzan through 80 weeks; must continue to have a reliable caregiver who is in frequent contact with the patient for the entire study; must have good vein access to administer infusions; agrees not to participate in studies of any other investigational compounds for the duration of their participation in study lzao,"are currently enrolled in, or discontinued within the last 30 days from, a clinical trial involving an investigational drug or device or off-label use of a drug or device (other than the study drug/device used in this study), or concurrently enrolled in any other type of medical research judged not to be scientifically or medically compatible with this study; meets lzam or lzan discontinuation criteria at the end of treatment in lzam or lzan study",Solanezumab; Placebo,Assess the Number of Participants With One or More Drug-Related Adverse Events (AEs) or Any Serious AEs (SAEs)
NCT01143350,"The STIM-EHPAD study (for stimulation in nursing home) aims to evaluate the short and medium term effectiveness of staff education as a non-pharmacological intervention to manage apathy in older people with a diagnosis of dementia.

* Primary efficacy criteria: Apathy Inventory clinician score changes
* Secondary efficacy criteria: Apathy Inventory patient and caregiver version changes, Observation scale changes, frequency and severity of the other BPSD using the NPI, qualitative analysis of the nursing home staff behavioural changes",,"patients older than 65 years; a diagnosis of dementia according to the icd 10 criteria; mmse score ≤ 24; presenting the diagnostic criteria of apathy (cf page ??); an apathy inventory clinician total score \>3 (with at least a score higher than 1 at one of the 3 dimensions; lack of initiative, lack of interest, emotional blunting)",patients more than 65 years; mmse score \> 24,Bras A (EHPAD Training and stimulation); EHPAD Control,"Identification of yet unknown enzymes involved in the processing of Ab, especially on those responsible for the exoproteasic truncation of Ab at its N-terminus."
NCT01362686,Conduct a comparative effectiveness clinical trial of medication treatment for behavioral symptoms of Alzheimer's disease in a group of real-world memory care clinics with enhanced access to the Indiana Network for Patient Care.,"The overarching goal of this proposal is to enhance the existing information technology infrastructure in Central Indiana to improve the nation's capacity to conduct comparative effectiveness research (CER). Consistent with the instructions in RFA-HS-10-005, the investigators propose to apply these new capacities to a novel CER project evaluating treatment for Alzheimer's disease. Alzheimer's disease has been identified as a first quartile CER priority. This proposal represents collaboration between the Medical Informatics Program at the Regenstrief Institute, Inc (a world leader in health information technology) and two Indiana University research programs: the Center for Aging Research and the Division of Clinical Pharmacology. These programs have an established track record in research relevant to under-served populations. Thus, this proposal combines considerable investigator, environment, and research strengths to continue to build a novel CER infrastructure in support of the nation's evidentiary CER priorities.

Throughout this proposal, the investigators use the AHRQ definition of CER: the conduct and synthesis of research comparing the benefits and harms of different interventions and strategies to prevent, diagnose, treat and monitor health conditions in real world settings."" The investigators also refer to a clinical trial of medication treatment for behavioral symptoms of Alzheimer's disease as the specific CER proposed to demonstrate the potential of our new infrastructure. However, the investigators stress that the enhancements proposed to existing infrastructure would support a broad portfolio of CER across an array of priority conditions. The investigators are also proposing enhancements in our privacy and confidentiality technology that would allow researchers from across the country to access de-identified data in support of CER. In summary, the investigators are proposing to add new CER knowledge on Alzheimer' disease and thereby field test new information technology capacities important to a wide range of CER projects while also increasing our capacity to provide data and opportunities for nationwide CER.

The derivation of meaningful and actionable evidence from CER ultimately depends on capturing relevant, comprehensive and accurate data about treatment decisions, patients' clinical status, their care processes and environment, and the health outcomes they experience and value. Such data must be tracked longitudinally in order to determine temporal relationships, cause-effect paradigms, and the efficacy of specific clinical interventions in the context of other conditions, interventions, and goals of care. At Indiana University and the Regenstrief Institute, the investigators have four decades of experience and a well-documented, world-class clinical informatics and research infrastructure for capturing, storing, querying and analyzing treatment patterns and patients' clinical outcomes.

The maturation of this health information technology is now embodied within the Indiana Network for Patient Care (INPC), a fully-operational regional health information exchange. The investigators are well positioned to expand and leverage this infrastructure in support of local and national multi-site clinical trials in comparative effectiveness. The specific aims of this proposal are to:

1.0 PROSPECT STUDY: Enhance our existing information technology infrastructure to:

1. provide de-identified access to the INPC database for CER work
2. capture, store, and track a broader array of health care outcomes important to patients and their caregivers (e.g. behavioral symptoms due to dementia);
3. support providers' and caregivers' and researchers' increasing need to work in teams by providing new tools for communication and co-management (e.g. collaborative care and research)

2.0 COMET-AD STUDY: Conduct comparative effectiveness clinical trial of medication treatment for behavioral symptoms of Alzheimer's disease in a group of real-world memory care clinics with enhanced access to the Indiana Network for Patient Care.",older adults with a diagnosis of possible or probable alzheimer's disease; planning to initiate treatment with a cholinesterase inhibitor; planning to continue care in the memory care practice; participation by a family caregiver willing to complete the study outcome assessments; access to a telephone; ability to understand english-language survey instruments,• prior serious adverse event from the study medications,Donepezil; Galantamine; Rivastigmine,Discontinuation Rates
NCT01560585,"This is an open label study of isotretinoin, a medication which is FDA approved for treatment of other conditions to determine initial safety in Alzheimer's disease.","Retinoids have some relevant characteristics that could be considered useful in treating AlZheimer's disease. These include anti-inflammatory properties, possible anti-amyloid formation proeprties and inhibition of cell cycle properties","probable ad by dsm iv and nincds-adrda criteria; females must be surgically sterile (bilateral tubal ligation, both ovaries removed or hysterectomy) or post-menopausal for at least 2 years.; \> 50 years of age; residing in the community at baseline (includes assisted living facilities, long-term care nursing facilities); mini mental state examination at screen of 12-26 (inclusive); no medical contraindications to study participation; fluent in english at least 8 years of education.; supervision available for study medication. caregiver/study partner to accompany participant to all visits. study partner must have direct contact with the participant \> 2 days/week; able to ingest oral medication.; neuroimaging (ct or mri or pet) consistent with the diagnosis of ad at some time after the onset of the memory decline.; clinical laboratory values must be within normal limits or, if abnormal, must be judged to be clinically insignificant by the investigator; stable use of cholinesterase inhibitors and memantine is permitted if doses are stable for 3 months prior to enrollment. dose should be stable throughout the study unless it is clinically necessary to adjust the medication.; stable use of anti-depressants is permitted if doses are stable for 3 months prior to enrollment. dose should be stable throughout the study unless it is clinically necessary to adjust the medication.","dementia not due to probable alzheimer's disease; pregnancy, breastfeeding. the rationale is that retinoids are teratogenic and are excreted in breast milk.; history of clinically significant stroke; modified hachinski ischemia score ≥ 4; current evidence or history in past two years of epilepsy, seizure, focal brain lesion, head injury with loss of consciousness or dsm iv criteria for any major psychiatric disorder including psychosis, major depression, bipolar disorder, severe alcohol or substance abuse.; sensory impairment which would prevent subject from participating in or cooperating with the protocol.; use of another investigational agent within two months.; evidence of any significant clinical disorder or laboratory finding that renders the participant unsuitable for receiving an investigational new drug including clinically significant or unstable hematologic, hepatic, cardiovascular (including history of ventricular fibrillation or ventricular tachycardia), pulmonary, gastrointestinal, endocrine, metabolic, renal, or other systemic disease or laboratory abnormality. abnormal liver function test, including ast, alt, total bilirubin, or prothrombin time. the rationale is that retinoids can be hepatotoxic.; participants receiving behavioral medications (including antidepressants, antipsychotics and anxiolytics) must be on stable doses for at least 4 weeks prior to randomization.; active neoplastic disease and any medical conditions requiring concurrent immunosuppression.; hypertriglyceridemia greater than 500 mg/dl despite statin/fibrate therapy. the rationale is that retinoids can increase lipids, particularly triglyceride and this can lead to pancreatitis.; any medical conditions requiring concurrent use of tetracycline, minocycline, or doxycycline. the rationale is due to enhanced risk of increased intracranial pressure.; hypersensitivity to retinoids.; presence of psychosis or hallucinations at baseline as determined by neuropsychiatric inventory or geriatric depression scale-short form greater than or equal to five; presence of any unstable cardiovascular disease, uncontrolled diabetes, chronic inflammatory or infectious conditions. retinoids have been associated with chest pain of unclear etiology, increased serum glucose, myelosuppression and increased risk of infection.; use of drugs and supplements such as: vitamin a supplements beyond 100% rda, other immunosuppressants (corticosteroids, chemotherapeutic agents, etc.), warfarin , fish oil (dha); any other disease or medical or psychiatric condition or laboratory abnormality that may increase the risk associated with study participation or investigational product administration or may interfere with the interpretation of study results and, in the judgment of the investigator, would make the participant inappropriate for entry into this clinical trial.",Isotretinoin,Change From Baseline to Six Month Timepoint in the Score on the Alzheimer's Disease Assessment Scale- Cognitive Subscale
NCT01561430,The purpose of this Phase 1/Phase 2 study is to evaluate how the body handles the drug and the drug's effect on the body of participants with mild cognitive impairment (MCI) due to Alzheimer's Disease (AD) or mild AD and who test positive for amyloid plaque.,,"meets criteria for mci due to ad or mild adall participants will be required to undergo assessment via the mini mental state examination (mmse) scale at screening; participants with mmse scores of 20 to 26, inclusive, may be enrolled provided they meet the criteria for mild ad, as follows: ; participant meets the national institute of neurological and communicative disorders and stroke/alzheimer's disease and related disorders association (nincds/adrda) criteria for probable ad ; clinical dementia rating scale (cdr) score of 0.5 or 1 ; positive scan for the presence of amyloid beta; participants with mmse of 27 to 30, inclusive, may be enrolled as participants with mci due to ad provided they meet the following criteria: ; gradual and progressive change in memory function as reported by the participant or a caregiver during a period of more than 6 months ; free and cued selective reminding test with immediate recall (fcsrt-ir): free recall ≤22 and total recall ≤46 ; absence of dementia ; preservation of functional independence ; exclusion of other potential (vascular, traumatic, or medical) causes of cognitive decline, where possible ; positive scan for the presence of amyloid beta; women must be postmenopausal; men are required to use an approved barrier method of contraception if their partners are pregnant, or of childbearing potential and not using approved contraceptive methods","participant in another drug or device study; have a history of frontotemporal dementia, lewy body disease, vascular dementia, huntington's disease, parkinson's disease, progressive supranuclear palsy (psnp), or other movement disorder; participants are not on a stable standard of care (acetylcholinesterase inhibitors, memantine) initiated less than 2 months prior to entry or have less than 4 weeks of stable therapy. note: stable standard of care is allowed.; have had a serious infectious disease affecting the brain in the past 5 years; have had a serious or repeat head injury; have significant retinal impairment or disease; have had a stroke or other circulation problems that are affecting current health; have had a seizure; have major depressive disorder and are not on a stable dose of medication. participants who no longer meet the diagnostic and statistical manual of mental disorders, fourth edition-text revision (dsm-iv) criteria for major depression may be included; history of schizophrenia, bipolar disorder, or severe mental illness; history of alcohol or drug abuse; have asthma, chronic obstructive pulmonary disease (copd), or other breathing disease that is not controlled with medicine; have human immunodeficiency virus (hiv) or syphilis; are taking blood thinners",LY2886721; Placebo,Change From Baseline to 12 Weeks in Cerebrospinal Fluid (CSF) Amyloid Beta (Aβ)1-40 and Aβ1-42 Concentrations; Change From Baseline to 26 Weeks in CSF Aβ1-40 and Aβ1-42 Concentrations
NCT01689948,"Alzheimer's disease (AD) is the most common cause of dementia among elderly patients. By its prevalence and its medical and social consequences, AD represents a dual challenge to public health and society. The elderly want to stay in their homes even when their lives are altered by a chronic progressive disease. Their caregivers claim in turn a support at home. But this desire is questioned because of the characteristics of the disease, e.g. the altered relational function by the cognitive impairment and the behavioural disorders associated.

Outpatients non-drug therapies represent a potential support that adapts to patient with an AD or mixed dementia, especially in their milder forms.

The aim of the study is to evaluate the feasibility of a weekly rehabilitation's intervention at home and its acceptability by both the patient and the caregiver.

The study of its efficiency in terms of autonomy will be the next step.","The protocol is based on weekly rehabilitation's intervention at home. All home visits and assessments of the patient and his caregiver will be made by the rehabilitation's therapist himself.

Twelve weekly interventions at home are planed. The first five are needed to define a realistic and achievable goal of treatment which is accepted by the dyad and the therapist. The following seven interventions will achieve this goal by rehabilitation's intervention (e.g. occupational therapy, psychomotor approach).

Four filmed sessions for dyad's assessment are planned (at inclusion, at weeks 5 and 12 after inclusion and 3 months after the last intervention).","aged 65 and over; ad or mixed dementia (dsm iv tr criteria), documented by a neuropsychological assessment and a brain imaging; living at home; having a caregiver (more than 2 visits per week); agreement for the studycaregiver's inclusion criteria : more than 2 patient's visits per week; agreement for the studypatient's",life expectancy less than 1 year; guardianship; already having a rehabilitation program's therapy; participation in a pharmacological studycaregiver's exclusion criteria:- medical condition requiring regular care,Home rehabilitation therapy,Evaluation of the mean scores of Instrumental Activities of Daily Living (IADL)
NCT01723488,\[F-18\]T808 is being developed as a diagnostic radiopharmaceutical for PET imaging of the human brain.,"Siemens Molecular Imaging (SMI) is seeking to determine if \[F-18\]T808 might be useful as a non-invasive assessment tool in the clinical evaluation of subjects with conditions associated with tau protein aggregates, such as Alzheimer's disease. The information collected under this exploratory study will not be used for diagnostic purposes, assessments of the participant's response to therapy or for clinical management of the participants. However, this exploratory study will provide baseline information on the safety, biodistribution, and dosimetry of \[F-18\]T808. These data will aid in the design of future studies of \[F-18\]T808 in patients with Alzheimer's disease. Overall, this study will provide initial data that inform the development of \[F-18\]T808 as the first PET imaging agent for human tau protein related pathology.",,,[F18] T808,To monitor and assess the safety of IV administration of [F-18]T808
NCT01733355,\[F-18\]T807 is being developed as a diagnostic radiopharmaceutical for PET imaging of the human brain.,"Siemens Molecular Imaging (SMI) is seeking to determine if \[F-18\]T807 might be useful as a non-invasive assessment tool in the clinical evaluation of subjects with conditions associated with tau protein aggregates, such as Alzheimer's disease. The information collected under this exploratory study will not be used for diagnostic purposes, assessments of the participant's response to therapy or for clinical management of the participants. However, this exploratory study will provide baseline information on the safety, biodistribution, and dosimetry of \[F-18\]T807. These data will aid in the design of future studies of \[F-18\]T807 in patients with Alzheimer's disease. Overall, this study will provide initial data that inform the development of \[F-18\]T807 as the first PET imaging agent for human tau protein related pathology.",,,[F18] T807,To evaluate the bio-distribution and radiation dosimetry of [F-18]T807 in participants with low probability of Alzheimer's disease (AD) using PET/CT whole body imaging; To evaluate the metabolism of [F-18]T807 in participants with low probability of AD using serial blood samples collected pre- and post-IP administration; To evaluate [F-18]T807 uptake and signal/background information in brain PET/CT imaging of participants with a high probability of currently being positive for AD and age-matched participants with a low probability of currently being positive for AD; To assess the safety of IV administration of [F-18]T807
NCT01739348,"This study consists of two parts, Part I and Part II. The purpose of Part I of the study is to assess the efficacy and safety of verubecestat (MK-8931) compared with placebo administered for 78 weeks in the treatment of Alzheimer's Disease (AD). The primary study hypotheses for Part I are that at least one verubecestat dose is superior to placebo at 78 weeks of treatment with respect to change from baseline in Alzheimer's Disease Assessment Scale Cognitive Subscale (ADAS-Cog) score and that at least one verubecestat dose is superior to placebo at 78 weeks of treatment with respect to change from baseline in Alzheimer's Disease Cooperative Study Activities of Daily Living Inventory (ADCS-ADL) score. The first approximately 400 participants entering Part I of the study are identified as the Safety Cohort. Participants who complete Part I of the study may choose to participate in Part II, which is a long term double-blind extension to assess efficacy and safety of verubecestat administered for up to an additional 260 weeks.","Two substudies are included in Part I of the study: 1) a medical imaging substudy to evaluate changes in brain amyloid protein load using positron emission tomography (PET) and an amyloid tracer (\[18F\]flutemetamol); and 2) a cerebrospinal fluid (CSF) biomarker substudy to evaluate changes in CSF concentrations of amyloid-β related peptides, total tau, and phosphorylated tau (p-tau). The substudies will be conducted only at designated investigational sites. Participants are not required to take part in a substudy in order to take part in the larger trial.","diagnosis of probable ad based on both a) the national institute of neurological and communicative diseases and stroke/alzheimer's disease and related disorders association (nincds-adrda) criteria and b) the diagnostic and statistical manual of mental disorders, 4th edition, text revision (dsm-iv-tr) criteria for ad; ad is of mild to moderate severity; clear history of cognitive and functional decline over at least one year that is either a) documented in medical records or b) documented by history from an informant who knows the subject well; able to read at a 6th grade level or equivalent, and must have a history of academic achievement and/or employment sufficient to exclude mental retardation; if a participant is receiving an acetylcholinesterase inhibitor, memantine, medical food/supplement (e.g., vitamin e) and/or herbal medications for ad, the dose must have been stable for at least three months before screening, and the participant must be willing to remain on the same dose for the duration of the trial. participants may need to be on ad treatments in accordance with local requirements; participant must have a reliable and competent trial partner/caregiver who must have a close relationship with the subjectinclusion criteria for extension period (part ii): tolerated study drug and completed the initial 78-week period of the trial (part i); participant must have a reliable and competent trial partner who must have a close relationship with the subject","history of stroke; evidence of a neurological disorder other than the disease being studied (i.e., probable ad); history of seizures or epilepsy within the last 5 years before screening; evidence of a clinically relevant or unstable psychiatric disorder, excluding major depression in remission; participant is at imminent risk of self-harm or of harm to others; history of alcoholism or drug dependency/abuse within the last 5 years before screening; participant does not have a magnetic resonance imaging (mri) scan obtained within 12 months of screening and is unwilling or not eligible to undergo an mri scan at the screening visit. with sponsor approval, a head computed tomography (ct) scan may be substituted for mri scan to evaluate eligibility; history of hepatitis or liver disease that has been active within the six months prior to screening visit; recent or ongoing, uncontrolled, clinically significant medical condition within 3 months of the screening visit (e.g., diabetes, hypertension, thyroid or endocrine disease, congestive heart failure, angina, cardiac or gastrointestinal disease, dialysis, or abnormal renal function) other than the condition being studied such that participation in the trial would pose a significant medical risk to the subject. controlled co-morbid conditions are not exclusionary if stable within three months of the screening visit; history or current evidence of long qt syndrome, corrected qt (qtc) interval ≥470 milliseconds (for male subjects) or ≥480 milliseconds (for female subjects), or torsades de pointes; history of malignancy occurring within the five years before screening, except for adequately treated basal cell or squamous cell skin cancer, in situ cervical cancer, or localized prostate carcinoma; or malignancy which has been treated with potentially curative therapy with no evidence of recurrence for ≥3 year post-therapy; clinically significant vitamin b12 or folate deficiency in the six months before screening visit; use of any investigational drugs within 30 days (or longer depending on drug) before screening or participation in studies involving repeated cognitive testing within 30 days before screening. participation in an observational study, such as those involving annual cognitive assessments and/or neuroimaging, may be allowed if approved by sponsor; history of a hypersensitivity reaction to more than three drugs; has tested positive for human immunodeficiency virus (hiv); close family member (including the caregiver, the spouse or any children) who is among the personnel of the investigational or sponsor staff directly involved with this trialadditional exclusion criteria for safety cohort: history of an ongoing medical condition that has been poorly controlled within 6 months of the screening visit (e.g., hypotension, diabetes, hypertension, cerebrovascular disease, thyroid disease, endocrine disturbance, congestive heart failure, cardiac or gastrointestinal disease, dialysis, or abnormal renal function) other than the condition being studied such that a subject's participation in the trial would pose a significant medical risk; history of congestive heart failure (moderate or greater severity), myocardial infarction, heart surgery, syncope, bradycardia, or clinically significant hypotension within one year before screeningexclusion criteria for extension period (part ii): participant is at imminent risk of self-harm or of harm to others; has developed a recent or ongoing, uncontrolled, clinically significant medical condition other than ad; has history of or has developed during part i evidence of long qt syndrome, qtc interval ≥470 milliseconds (for male subjects) or ≥480 milliseconds (for female subjects), or torsades de pointes; has developed a form of dementia that is not ad",Verubecestat (Part I and Part II); Placebo (Part I); Verubecestat (Part II),[Part I (Base Study)] Change From Baseline in the Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-Cog) Score; [Part I (Base Study)] Change From Baseline in Alzheimer's Disease Cooperative Study-Activities of Daily Living (ADCS-ADL) Score; [Part II (Extension Study)] Change From Baseline in Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-Cog) Score; [Part II (Extension Study)] Change From Baseline in Alzheimer's Disease Cooperative Study-Activities of Daily Living (ADCS-ADL) Score; [Part I (Base Study)] Number of Participants Who Experienced an Adverse Event; [Part II (Extension Study)] Number of Participants Who Experienced an Adverse Event; [Part I (Base Study)] Number of Participants Who Discontinued From Study Drug Due to an Adverse Event; [Part II (Extension Study)] Number of Participants Who Discontinued From Study Drug Due to an Adverse Event
